ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-04-01,13.504586199113207,13.242954432305773,13.753008627618904,13.504586199113207,13.504586199113207,0.0,0.0,0.0,0.0,0.0,0.0,13.504586199113207
2024-05-01,13.55034220828304,13.265260107149137,13.824033370346559,13.55034220828304,13.55034220828304,0.0,0.0,0.0,0.0,0.0,0.0,13.55034220828304
2024-06-01,13.597623418812692,13.326406906948153,13.853096579064028,13.597623418812692,13.597623418812692,0.0,0.0,0.0,0.0,0.0,0.0,13.597623418812692
2024-07-01,13.643379425978411,13.36838736181733,13.904529117465257,13.643379425978411,13.643379425978411,0.0,0.0,0.0,0.0,0.0,0.0,13.643379425978411
2024-08-01,13.690660623529178,13.424105330578648,13.941767046432007,13.690660623529178,13.690660623529178,0.0,0.0,0.0,0.0,0.0,0.0,13.690660623529178
2024-09-01,13.737139212149106,13.454395543362546,14.007419785775417,13.737139212149106,13.737139212149106,0.0,0.0,0.0,0.0,0.0,0.0,13.737139212149106
2024-10-01,13.752287211954934,13.485048522505956,14.038671578037142,13.752287211954934,13.752287211954934,0.0,0.0,0.0,0.0,0.0,0.0,13.752287211954934
2024-11-01,13.767936237081875,13.50567102105982,14.024055304497837,13.767936237081875,13.767936237081875,0.0,0.0,0.0,0.0,0.0,0.0,13.767936237081875
2024-12-01,13.782511238242124,13.499884653874515,14.064947229797642,13.782511238242124,13.782511238242124,0.0,0.0,0.0,0.0,0.0,0.0,13.782511238242124
2025-01-01,13.63593359479065,13.37171127113958,13.900681439675523,13.63593359479065,13.63593359479065,0.0,0.0,0.0,0.0,0.0,0.0,13.63593359479065
2025-02-01,13.489355951339178,13.214128894358904,13.766920378294468,13.489355951339178,13.489355951339178,0.0,0.0,0.0,0.0,0.0,0.0,13.489355951339178
2025-03-01,13.356963241124943,13.083876496570925,13.628290777716202,13.356963241124943,13.356963241124943,0.0,0.0,0.0,0.0,0.0,0.0,13.356963241124943
2025-03-31,13.215113908752551,12.952716366411883,13.486194937877368,13.201565976745584,13.231484065192724,0.0,0.0,0.0,0.0,0.0,0.0,13.215113908752551
2025-04-30,13.073264576380156,12.809388591584492,13.353345495767568,13.02819582551045,13.124198394881248,0.0,0.0,0.0,0.0,0.0,0.0,13.073264576380156
2025-05-31,12.926686932928684,12.6493685815205,13.219921573216014,12.835032098592468,13.031332278912647,0.0,0.0,0.0,0.0,0.0,0.0,12.926686932928684
2025-06-30,12.78483760055629,12.492695288423526,13.099436284050316,12.634567932515875,12.95293356443789,0.0,0.0,0.0,0.0,0.0,0.0,12.78483760055629
2025-07-31,12.638259957104818,12.291513120711969,12.990077385951084,12.424300104933586,12.877866495653791,0.0,0.0,0.0,0.0,0.0,0.0,12.638259957104818
2025-08-31,12.491682313653344,12.081403530938566,12.921792706082789,12.214481903345828,12.801718158780245,0.0,0.0,0.0,0.0,0.0,0.0,12.491682313653344
