Region Code,Provider Code,Provider Name,Total number of incomplete pathways,Total within 18 weeks,Total 52 plus weeks,% within 18 weeks,% 52 plus weeks,Month
Y63,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,62374,42534,1406,68.19187481963638,2.25414435501972,May-2025
Y63,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,184074,120152,3622,65.27374860110608,1.9676869085259188,May-2025
Y63,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,81148,49370,1980,60.83945383743284,2.43998619805787,May-2025
Y63,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,76132,43120,2176,56.63847002574476,2.858193663636841,May-2025
Y63,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,109774,67292,3218,61.30049009783738,2.9314773990198044,May-2025
Y63,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,25860,17720,2,68.52281515854601,0.007733952049497293,May-2025
Y63,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,176288,117018,5416,66.37888001452168,3.072245416591033,May-2025
Y63,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,178538,130510,2890,73.09928418599962,1.6187030212055697,May-2025
Y63,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,72790,58800,60,80.7803269679901,0.08242890506937767,May-2025
Y63,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,112952,70160,3198,62.11488065727034,2.83129116792974,May-2025
Y63,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,41928,31222,434,74.46575081091395,1.0351078038542263,May-2025
Y63,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,156448,90414,5700,57.791726324401715,3.643383104929433,May-2025
Y63,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,72208,49366,102,68.36638599601153,0.14125858630622645,May-2025
Y63,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",398,388,0,97.48743718592965,0.0,May-2025
Y63,RXF,MID YORKSHIRE TEACHING NHS TRUST,112292,69884,840,62.234175186121895,0.7480497274961707,May-2025
Y63,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,8302,8070,0,97.20549265237293,0.0,May-2025
Y63,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,77826,54460,654,69.97661449901061,0.8403361344537815,May-2025
Y63,RY6,LEEDS COMMUNITY HEALTHCARE NHS TRUST,0,0,0,,,May-2025
Y63,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,1146,796,12,69.45898778359512,1.0471204188481675,May-2025
Y56,R1H,BARTS HEALTH NHS TRUST,269372,155060,9788,57.56351810878636,3.6336367551193147,June-2025
Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,172726,96158,4714,55.67083125875665,2.7291780044695066,June-2025
Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,292220,168090,7964,57.5217302032715,2.725343918965163,June-2025
Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,17336,12206,140,70.4083987078911,0.8075680664513151,June-2025
Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,62400,34854,874,55.855769230769226,1.4006410256410255,June-2025
Y56,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,83396,55370,546,66.39407165811309,0.6547076598398005,June-2025
Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",113862,80044,1038,70.29913403945126,0.9116298677346261,June-2025
Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,237376,149654,5428,63.04512671879213,2.2866675653815043,June-2025
Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,106052,61976,4290,58.43925621393279,4.04518538075661,June-2025
Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,73264,50794,1800,69.33009390696658,2.4568683118584844,June-2025
Y56,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,142094,88394,3422,62.208115754359795,2.4082649513702195,June-2025
Y56,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,168874,106760,3428,63.218731124980756,2.029915795208262,June-2025
Y56,RKE,WHITTINGTON HEALTH NHS TRUST,50634,32672,696,64.52581269502706,1.3745704467353952,June-2025
